,country_code,country_name,name
1,8,ALB,Albania
2,12,DZA,Algeria
3,36,AUS,Australia
4,40,AUT,Austria
5,56,BEL,Belgium
6,76,BRA,Brazil
7,100,BGR,Bulgaria
8,124,CAN,Canada
9,152,CHL,Chile
10,158,TAP,TAP
11,170,COL,Columbia
12,188,CRI,Costa Rica
13,191,HRV,Croatia
14,203,CZE,Czech
15,208,DNK,Denmark
16,214,DOM,Dominica
17,233,EST,Estonia
18,246,FIN,Finland
19,250,FRA,France
20,268,GEO,Georgia
21,276,DEU,Germany
22,300,GRC,Greece
23,344,HKG,Hongkong
24,348,HUN,Hungary
25,352,ISL,Iceland
26,360,IDN,Indonesia
27,372,IRL,Ireland
28,376,ISR,Israel
29,380,ITA,Italy
30,392,JPN,Japan
31,400,JOR,Jordan
32,410,KOR,Korean
33,411,KSV,KSV
34,422,LBN,Lebanon
35,428,LVA,Latvia
36,440,LTU,Lithuania
37,442,LUX,Luxembourg
38,446,MAC,Macao
39,470,MLT,Malta
40,484,MEX,Mexico
41,498,MDA,Moldova
42,499,MNE,Montenegro
43,528,NLD,Netherlands
44,554,NZL,New Zealand
45,578,NOR,Norway
46,604,PER,Peru
47,616,POL,Poland
48,620,PRT,Portuguese
49,630,QUD,QUD
50,634,QAT,Qatar
51,642,ROU,ROU
52,643,RUS,Russia
53,702,SGP,Singapore
54,703,SVK,Slovakia
55,704,VNM,Vietnam
56,705,SVN,Slovenia
57,724,ESP,Spanish
58,752,SWE,Sweden
59,756,CHE,Switzerland
60,764,THA,Thailand
61,780,TTO,Trinidad
62,784,ARE,united Arab emirates
63,788,TUN,Tunisia
64,792,TUR,Turkey
65,807,MKD,Macedonia
66,826,GBR,Britain
67,840,USA,America
68,858,URY,Uruguay
69,970,QCH,QCH
70,971,QES,QES
71,972,QUC,QUC
72,973,QUE,QUE
73,974,QAR,QAR
